tank_code,dip_mm,litres
T2,700,3297
T2,701,3303
T2,702,3310
T2,703,3317
T2,704,3324
T2,705,3331
T2,706,3338
T2,707,3345
T2,708,3352
T2,709,3359
T2,710,3366
T2,711,3372
T2,712,3379
T2,713,3386
T2,714,3393
T2,715,3400
T2,716,3407
T2,717,3414
T2,718,3421
T2,719,3428
T2,720,3434
T2,721,3441
T2,722,3448
T2,723,3455
T2,724,3462
T2,725,3469
T2,726,3476
T2,727,3483
T2,728,3490
T2,729,3497
T2,730,3503
T2,731,3510
T2,732,3517
T2,733,3524
T2,734,3531
T2,735,3538
T2,736,3545
T2,737,3552
T2,738,3559
T2,739,3566
T2,740,3572
T2,741,3579
T2,742,3586
T2,743,3593
T2,744,3600
T2,745,3607
T2,746,3614
T2,747,3621
T2,748,3628
T2,749,3634
T2,750,3641
T2,751,3648
T2,752,3655
T2,753,3662
T2,754,3669
T2,755,3676
T2,756,3683
T2,757,3690
T2,758,3697
T2,759,3703
T2,760,3710
T2,761,3717
T2,762,3724
T2,763,3731
T2,764,3738
T2,765,3745
T2,766,3752
T2,767,3759
T2,768,3766
T2,769,3772
T2,770,3779
T2,771,3786
T2,772,3793
T2,773,3800
T2,774,3807
T2,775,3814
T2,776,3821
T2,777,3828
T2,778,3834
T2,779,3841
T2,780,3848
T2,781,3855
T2,782,3862
T2,783,3869
T2,784,3876
T2,785,3883
T2,786,3890
T2,787,3897
T2,788,3903
T2,789,3910
T2,790,3917
T2,791,3924
T2,792,3931
T2,793,3938
T2,794,3945
T2,795,3952
T2,796,3959
T2,797,3966
T2,798,3972
T2,799,3979
T2,800,3986
T2,801,3993
T2,802,4000
T2,803,4007
T2,804,4014
T2,805,4021
T2,806,4029
T2,807,4036
T2,808,4043
T2,809,4050
T2,810,4057
T2,811,4064
T2,812,4071
T2,813,4079
T2,814,4086
T2,815,4093
T2,816,4100
T2,817,4107
T2,818,4114
T2,819,4121
T2,820,4129
T2,821,4136
T2,822,4143
T2,823,4150
T2,824,4157
T2,825,4164
T2,826,4171
T2,827,4179
T2,828,4186
T2,829,4193
T2,830,4200
T2,831,4207
T2,832,4214
T2,833,4221
T2,834,4229
T2,835,4236
T2,836,4243
T2,837,4250
T2,838,4257
T2,839,4264
T2,840,4271
T2,841,4279
T2,842,4286
T2,843,4293
T2,844,4300
T2,845,4307
T2,846,4314
T2,847,4321
T2,848,4329
T2,849,4336
T2,850,4343
T2,851,4350
T2,852,4357
T2,853,4364
T2,854,4371
T2,855,4379
T2,856,4386
T2,857,4393
T2,858,4400
T2,859,4407
T2,860,4414
T2,861,4421
T2,862,4429
T2,863,4436
T2,864,4443
T2,865,4450
T2,866,4457
T2,867,4464
T2,868,4471
T2,869,4479
T2,870,4486
T2,871,4493
T2,872,4500
T2,873,4507
T2,874,4514
T2,875,4521
T2,876,4529
T2,877,4536
T2,878,4543
T2,879,4550
T2,880,4557
T2,881,4564
T2,882,4571
T2,883,4579
T2,884,4586
T2,885,4593
T2,886,4600
T2,887,4607
T2,888,4614
T2,889,4621
T2,890,4629
T2,891,4636
T2,892,4643
T2,893,4650
T2,894,4657
T2,895,4664
T2,896,4671
T2,897,4679
T2,898,4686
T2,899,4693
T2,900,4700
T2,901,4707
T2,902,4714
T2,903,4721
T2,904,4729
T2,905,4736
T2,906,4743
T2,907,4750
T2,908,4757
T2,909,4764
T2,910,4771
T2,911,4779
T2,912,4786
T2,913,4793
T2,914,4800
T2,915,4807
T2,916,4815
T2,917,4822
T2,918,4830
T2,919,4837
T2,920,4844
T2,921,4852
T2,922,4859
T2,923,4867
T2,924,4874
T2,925,4881
T2,926,4889
T2,927,4896
T2,928,4904
T2,929,4911
T2,930,4919
T2,931,4926
T2,932,4933
T2,933,4941
T2,934,4948
T2,935,4956
T2,936,4963
T2,937,4970
T2,938,4978
T2,939,4985
T2,940,4993
T2,941,5000
T2,942,5007
T2,943,5014
T2,944,5021
T2,945,5029
T2,946,5036
T2,947,5043
T2,948,5050
T2,949,5057
T2,950,5064
T2,951,5071
T2,952,5079
T2,953,5086
T2,954,5093
T2,955,5100
T2,956,5107
T2,957,5114
T2,958,5121
T2,959,5129
T2,960,5136
T2,961,5143
T2,962,5150
T2,963,5157
T2,964,5164
T2,965,5171
T2,966,5179
T2,967,5186
T2,968,5193
T2,969,5200
T2,970,5207
T2,971,5214
T2,972,5221
T2,973,5229
T2,974,5236
T2,975,5243
T2,976,5250
T2,977,5257
T2,978,5264
T2,979,5271
T2,980,5279
T2,981,5286
T2,982,5293
T2,983,5300
T2,984,5307
T2,985,5314
T2,986,5321
T2,987,5329
T2,988,5336
T2,989,5343
T2,990,5350
T2,991,5357
T2,992,5364
T2,993,5371
T2,994,5379
T2,995,5386
T2,996,5393
T2,997,5400
T2,998,5407
T2,999,5415
T2,1000,5422
T2,1001,5430
T2,1002,5437
T2,1003,5444
T2,1004,5452
T2,1005,5459
T2,1006,5467
T2,1007,5474
T2,1008,5481
T2,1009,5489
T2,1010,5496
T2,1011,5504
T2,1012,5511
T2,1013,5519
T2,1014,5526
T2,1015,5533
T2,1016,5541
T2,1017,5548
T2,1018,5556
T2,1019,5563
T2,1020,5570
T2,1021,5578
T2,1022,5585
T2,1023,5593
T2,1024,5600
T2,1025,5607
T2,1026,5614
T2,1027,5621
T2,1028,5629
T2,1029,5636
T2,1030,5643
T2,1031,5650
T2,1032,5657
T2,1033,5664
T2,1034,5671
T2,1035,5679
T2,1036,5686
T2,1037,5693
T2,1038,5700
T2,1039,5707
T2,1040,5714
T2,1041,5721
T2,1042,5729
T2,1043,5736
T2,1044,5743
T2,1045,5750
T2,1046,5757
T2,1047,5764
T2,1048,5771
T2,1049,5779
T2,1050,5786
T2,1051,5793
T2,1052,5800
T2,1053,5808
T2,1054,5815
T2,1055,5823
T2,1056,5831
T2,1057,5838
T2,1058,5846
T2,1059,5854
T2,1060,5862
T2,1061,5869
T2,1062,5877
T2,1063,5885
T2,1064,5892
T2,1065,5900
T2,1066,5908
T2,1067,5915
T2,1068,5923
T2,1069,5931
T2,1070,5938
T2,1071,5946
T2,1072,5954
T2,1073,5962
T2,1074,5969
T2,1075,5977
T2,1076,5985
T2,1077,5992
T2,1078,6000
T2,1079,6007
T2,1080,6014
T2,1081,6021
T2,1082,6029
T2,1083,6036
T2,1084,6043
T2,1085,6050
T2,1086,6057
T2,1087,6064
T2,1088,6071
T2,1089,6079
T2,1090,6086
T2,1091,6093
T2,1092,6100
T2,1093,6107
T2,1094,6114
T2,1095,6121
T2,1096,6129
T2,1097,6136
T2,1098,6143
T2,1099,6150
T2,1100,6157
T2,1101,6164
